id,task_type,theme,poem_type,prompt,generated_poem,is_format_correct,num_sentences,char_counts,errors
T0001,theme_generation,春天,五言绝句,"请围绕主题“春天”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",南枝先得春，开在百花新。不共春风语，何心别后亲。,True,4,"[5, 5, 5, 5]",[]
T0002,theme_generation,夏日,七言绝句,"请围绕主题“夏日”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",小簟铺阴地，轻衣拂暗尘。一窗凉意好，长似雨余春。,False,4,"[5, 5, 5, 5]","[""第 1 句字数错误：期望 7 字，实际 5 字"", ""第 2 句字数错误：期望 7 字，实际 5 字"", ""第 3 句字数错误：期望 7 字，实际 5 字"", ""第 4 句字数错误：期望 7 字，实际 5 字""]"
T0003,theme_generation,秋思,五言绝句,"请围绕主题“秋思”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",独坐愁无那，西风卷落花。寒林鸣落叶，明月照人家。,True,4,"[5, 5, 5, 5]",[]
T0004,theme_generation,冬雪,七言绝句,"请围绕主题“冬雪”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",冻云凝雪意纷纷，梅蕊香中著玉尘。谁解将心语春色，梅花自是雪前身。,True,4,"[7, 7, 7, 7]",[]
T0005,theme_generation,春雨,五言绝句,"请围绕主题“春雨”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",春雨细无声，随风入夜深。梦回窗欲曙，叶上已沾心。,True,4,"[5, 5, 5, 5]",[]
T0006,theme_generation,秋风,七言绝句,"请围绕主题“秋风”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",西风扫长空，秋气爽如水。今朝一雨过，满目是佳致。,False,4,"[5, 5, 5, 5]","[""第 1 句字数错误：期望 7 字，实际 5 字"", ""第 2 句字数错误：期望 7 字，实际 5 字"", ""第 3 句字数错误：期望 7 字，实际 5 字"", ""第 4 句字数错误：期望 7 字，实际 5 字""]"
T0007,theme_generation,寒冬,五言绝句,"请围绕主题“寒冬”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",寒气收残腊，春风报早春。东君留物性，终是惜芳尘。,True,4,"[5, 5, 5, 5]",[]
T0008,theme_generation,新年,七言绝句,"请围绕主题“新年”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",新年雪未消，寒食雨相冒。一岁事已中，万事心宜了。,False,4,"[5, 5, 5, 5]","[""第 1 句字数错误：期望 7 字，实际 5 字"", ""第 2 句字数错误：期望 7 字，实际 5 字"", ""第 3 句字数错误：期望 7 字，实际 5 字"", ""第 4 句字数错误：期望 7 字，实际 5 字""]"
T0009,theme_generation,清明,五言绝句,"请围绕主题“清明”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",江头春水生，白日暮潮平。雨歇晚烟散，风回寒浪声。,True,4,"[5, 5, 5, 5]",[]
T0010,theme_generation,中秋,七言绝句,"请围绕主题“中秋”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。","玉斧开云路，金茎落露盘。年年常在此，何事不成看。""。""。。。",False,6,"[5, 5, 5, 5, 0, 0]","[""明显重复"", ""句数错误：期望 4 句，实际 6 句"", ""第 1 句字数错误：期望 7 字，实际 5 字"", ""第 2 句字数错误：期望 7 字，实际 5 字"", ""第 3 句字数错误：期望 7 字，实际 5 字"", ""第 4 句字数错误：期望 7 字，实际 5 字"", ""第 5 句字数错误：期望 7 字，实际 0 字"", ""第 6 句字数错误：期望 7 字，实际 0 字""]"
T0011,theme_generation,明月,五言绝句,"请围绕主题“明月”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",云遮本无心，天漏应无日。何许有光时，长空一片白。,True,4,"[5, 5, 5, 5]",[]
T0012,theme_generation,清风,七言绝句,"请围绕主题“清风”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",不假丹青笔，全凭造化功。高林留夜月，新叶弄秋风。,False,4,"[5, 5, 5, 5]","[""第 1 句字数错误：期望 7 字，实际 5 字"", ""第 2 句字数错误：期望 7 字，实际 5 字"", ""第 3 句字数错误：期望 7 字，实际 5 字"", ""第 4 句字数错误：期望 7 字，实际 5 字""]"
T0013,theme_generation,山水,五言绝句,"请围绕主题“山水”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",清泉白石间，细草绿树端。坐久亦何有，苍苔落履痕。,True,4,"[5, 5, 5, 5]",[]
T0014,theme_generation,江河,七言绝句,"请围绕主题“江河”创作一首七言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",长江千古水，东去不还流。日夜东南浪，长鲸咽未休。,False,4,"[5, 5, 5, 5]","[""第 1 句字数错误：期望 7 字，实际 5 字"", ""第 2 句字数错误：期望 7 字，实际 5 字"", ""第 3 句字数错误：期望 7 字，实际 5 字"", ""第 4 句字数错误：期望 7 字，实际 5 字""]"
T0015,theme_generation,大海,五言绝句,"请围绕主题“大海”创作一首五言绝句。
要求：只输出诗词正文，不要标题、解释、赏析、序号或任何说明文字。
格式要求：五言绝句为四句、每句五个汉字；七言绝句为四句、每句七个汉字。",万顷波涛涌，中藏古宝藏。海灵垂拱立，威慑尔鱼虾。,True,4,"[5, 5, 5, 5]",[]
