id,task_type,theme,poem_type,prefix,references,prompt,generated_text,generated_char_level,references_char_level,BLEU-4,ROUGE-L,BLEU-4-%,ROUGE-L-%,error
P066,prefix_continuation,送别,下一句续写,故人西辞黄鹤楼,"[""烟花三月下扬州。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“故人西辞黄鹤楼”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",渔舟晚泊潇湘渚,渔 舟 晚 泊 潇 湘 渚,"[""烟 花 三 月 下 扬 州""]",0.0,0.0,0.0,0.0,
P043,prefix_continuation,竹林,下一句续写,弹琴复长啸,"[""深林人不知。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“弹琴复长啸”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",我欲乘风归,我 欲 乘 风 归,"[""深 林 人 不 知""]",0.0,0.0,0.0,0.0,
P016,prefix_continuation,冬雪,下一句续写,忽如一夜春风来,"[""千树万树梨花开。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“忽如一夜春风来”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",吹散千林万木开。,吹 散 千 林 万 木 开,"[""千 树 万 树 梨 花 开""]",0.043472087194499145,0.42857142857142855,4.35,42.86,
P010,prefix_continuation,送别,下一句续写,洛阳亲友如相问,"[""一片冰心在玉壶。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“洛阳亲友如相问”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",雪中梅蕊破寒开,雪 中 梅 蕊 破 寒 开,"[""一 片 冰 心 在 玉 壶""]",0.0,0.0,0.0,0.0,
P101,prefix_continuation,忧国,下一句续写,死去元知万事空,"[""但悲不见九州同。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“死去元知万事空”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",但存方寸地,但 存 方 寸 地,"[""但 悲 不 见 九 州 同""]",0.036015288308423515,0.16666666666666666,3.6,16.67,
P059,prefix_continuation,思归,下一句续写,今春看又过,"[""何日是归年。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“今春看又过”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",明日是何年。,明 日 是 何 年,"[""何 日 是 归 年""]",0.13512001548070346,0.6,13.51,60.0,
P002,prefix_continuation,春天,下一句续写,春眠不觉晓,"[""处处闻啼鸟。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“春眠不觉晓”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",莫待惊雷动,莫 待 惊 雷 动,"[""处 处 闻 啼 鸟""]",0.0,0.0,0.0,0.0,
P074,prefix_continuation,边塞,下一句续写,万里长征人未还,"[""但使龙城飞将在。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“万里长征人未还”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",云和雪压千山重,云 和 雪 压 千 山 重,"[""但 使 龙 城 飞 将 在""]",0.0,0.0,0.0,0.0,
P077,prefix_continuation,边塞,下一句续写,孤城遥望玉门关,"[""黄沙百战穿金甲。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“孤城遥望玉门关”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",沙塞风高雁翼斜,沙 塞 风 高 雁 翼 斜,"[""黄 沙 百 战 穿 金 甲""]",0.033031643180138064,0.14285714285714285,3.3,14.29,
P083,prefix_continuation,江南,下一句续写,南朝四百八十寺,"[""多少楼台烟雨中。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“南朝四百八十寺”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",平芜落日孤城角,平 芜 落 日 孤 城 角,"[""多 少 楼 台 烟 雨 中""]",0.0,0.0,0.0,0.0,
P081,prefix_continuation,江南,下一句续写,千里莺啼绿映红,"[""水村山郭酒旗风。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“千里莺啼绿映红”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",暮雨千山郭外云,暮 雨 千 山 郭 外 云,"[""水 村 山 郭 酒 旗 风""]",0.06985342056580097,0.2857142857142857,6.99,28.57,
P084,prefix_continuation,秋山,下一句续写,远上寒山石径斜,"[""白云生处有人家。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“远上寒山石径斜”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",一鞭先我到，,一 鞭 先 我 到,"[""白 云 生 处 有 人 家""]",0.0,0.0,0.0,0.0,
P011,prefix_continuation,离别,下一句续写,劝君更尽一杯酒,"[""西出阳关无故人。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“劝君更尽一杯酒”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",与尔同悲复同喜。,与 尔 同 悲 复 同 喜,"[""西 出 阳 关 无 故 人""]",0.0,0.0,0.0,0.0,
P042,prefix_continuation,竹林,下一句续写,独坐幽篁里,"[""弹琴复长啸。""]","[gMASK]<sop><|system|>
你是一名擅长中文古典诗词续写的助手。请严格根据用户给定的上句续写下一句。你的输出必须只有续写的下一句本身，禁止输出标题、解释、原句、序号、引号或任何说明文字。<|user|>
请根据上句“独坐幽篁里”，续写下一句。硬性要求：
1. 只输出一行。
2. 只输出续写下句本身。
3. 不要包含原有上句。
4. 不要补全整首诗。
5. 不要输出“下句：”“续写：”“答案：”“解释：”等任何前缀。
6. 不要使用引号包裹。<|assistant|>",一任旁人笑,一 任 旁 人 笑,"[""弹 琴 复 长 啸""]",0.0,0.0,0.0,0.0,
